crop,temp_min,temp_max,humidity_min,humidity_max,moisture_min,moisture_max,season,w_temp,w_humidity,w_moisture
Tomato,25,35,50,70,40,70,Kharif,0.4,0.3,0.3
Chili,25,35,50,70,40,70,Kharif,0.4,0.3,0.3
Coriander,20,30,50,70,40,65,Rabi,0.4,0.3,0.3
Rice,22,35,70,90,60,90,Kharif,0.2,0.3,0.5
Spinach,15,25,60,80,50,75,Rabi,0.35,0.3,0.35
Lettuce,15,22,60,80,55,75,Rabi,0.35,0.3,0.35
Wheat,15,25,40,65,40,65,Rabi,0.45,0.3,0.25
Potato,15,25,60,80,50,75,Rabi,0.35,0.3,0.35
Onion,20,30,40,65,35,60,Rabi,0.4,0.3,0.3
Sugarcane,27,38,40,65,30,55,Kharif,0.4,0.2,0.4
Cotton,25,40,40,65,25,50,Kharif,0.4,0.2,0.4
Sorghum,25,40,30,60,25,50,Kharif,0.45,0.2,0.35
Maize,20,35,50,80,40,70,Kharif,0.35,0.3,0.35
Sunflower,20,35,40,70,35,65,Kharif,0.4,0.25,0.35
Groundnut,25,35,50,70,40,65,Kharif,0.35,0.3,0.35
Banana,22,38,60,85,55,80,Kharif,0.3,0.35,0.35
Mango,24,38,40,65,35,60,Summer,0.45,0.25,0.3
Brinjal,22,35,55,75,40,70,Kharif,0.35,0.3,0.35
Okra,25,38,50,75,35,65,Kharif,0.4,0.25,0.35
Garlic,15,25,40,65,35,60,Rabi,0.4,0.3,0.3
Cabbage,15,25,60,80,50,75,Rabi,0.35,0.3,0.35
Cauliflower,15,25,60,80,50,75,Rabi,0.35,0.3,0.35
Peas,13,23,55,75,45,70,Rabi,0.4,0.25,0.35
Mustard,10,25,40,65,35,60,Rabi,0.45,0.25,0.3
Soybean,22,35,50,75,40,70,Kharif,0.35,0.3,0.35
Papaya,22,38,60,85,55,80,Kharif,0.3,0.35,0.35
Pomegranate,20,35,40,65,30,55,Summer,0.45,0.25,0.3
Guava,20,35,45,70,35,60,Summer,0.4,0.3,0.3
Turmeric,20,35,60,85,55,80,Kharif,0.3,0.3,0.4
Ginger,20,32,60,85,55,80,Kharif,0.3,0.3,0.4
Millet,22,38,35,65,25,55,Kharif,0.45,0.2,0.35
Barley,12,25,40,65,35,60,Rabi,0.45,0.25,0.3
Carrot,15,25,55,75,45,70,Rabi,0.35,0.3,0.35
Radish,12,25,55,75,45,70,Rabi,0.35,0.3,0.35
Beetroot,15,25,55,75,45,70,Rabi,0.35,0.3,0.35
Fenugreek,15,28,45,70,40,65,Rabi,0.4,0.3,0.3
BottleGourd,24,35,55,75,45,70,Kharif,0.35,0.3,0.35
BitterGourd,24,35,55,75,45,70,Kharif,0.35,0.3,0.35
RidgeGourd,24,35,55,75,45,70,Kharif,0.35,0.3,0.35
Pumpkin,22,35,50,75,45,70,Kharif,0.35,0.3,0.35
Cucumber,22,32,60,80,50,75,Kharif,0.3,0.35,0.35
Zucchini,18,30,55,75,45,70,Rabi,0.35,0.3,0.35
Drumstick,25,38,40,65,30,55,Summer,0.45,0.25,0.3
Jackfruit,24,38,60,85,55,80,Kharif,0.3,0.35,0.35
CustardApple,22,36,45,70,35,60,Summer,0.4,0.3,0.3
Sapota,24,36,50,75,40,65,Summer,0.4,0.3,0.3
Lemon,20,35,45,70,35,60,Summer,0.4,0.3,0.3
Orange,18,32,45,70,35,60,Winter,0.4,0.3,0.3
Mosambi,20,34,45,70,35,60,Summer,0.4,0.3,0.3
Apple,10,24,50,75,45,70,Winter,0.4,0.3,0.3
Pear,12,24,50,75,45,70,Winter,0.4,0.3,0.3
Plum,12,25,45,70,40,65,Winter,0.4,0.3,0.3
Cherry,10,22,45,70,40,65,Winter,0.4,0.3,0.3
Strawberry,15,25,60,80,50,75,Winter,0.35,0.3,0.35
Blueberry,12,24,60,80,50,75,Winter,0.35,0.3,0.35
Raspberry,12,24,60,80,50,75,Winter,0.35,0.3,0.35
Blackberry,12,24,60,80,50,75,Winter,0.35,0.3,0.35
Tea,18,30,70,90,60,85,Kharif,0.25,0.35,0.4
Coffee,18,30,60,85,55,80,Kharif,0.3,0.35,0.35
Cocoa,22,32,70,90,60,85,Kharif,0.25,0.35,0.4
Rubber,25,35,70,90,60,85,Kharif,0.25,0.35,0.4
Jute,24,35,70,90,60,85,Kharif,0.25,0.35,0.4
Sesame,25,35,40,65,30,55,Kharif,0.45,0.25,0.3
Castor,24,36,35,60,25,50,Kharif,0.45,0.2,0.35
Linseed,15,25,40,65,35,60,Rabi,0.45,0.25,0.3
Chickpea,15,28,40,65,35,60,Rabi,0.45,0.25,0.3
Lentil,12,25,45,70,40,65,Rabi,0.4,0.3,0.3
BlackGram,22,35,50,75,40,70,Kharif,0.35,0.3,0.35
GreenGram,22,35,50,75,40,70,Kharif,0.35,0.3,0.35
RedGram,22,35,45,70,35,65,Kharif,0.4,0.25,0.35
HorseGram,20,35,35,60,30,55,Kharif,0.45,0.2,0.35
Cowpea,22,35,45,70,35,65,Kharif,0.4,0.25,0.35
Tobacco,20,35,40,65,30,55,Rabi,0.45,0.25,0.3
AloeVera,22,38,35,60,25,50,Summer,0.45,0.2,0.35
Ashwagandha,20,32,35,60,25,50,Rabi,0.45,0.2,0.35
Stevia,20,32,50,75,40,70,Summer,0.35,0.3,0.35
Mint,18,30,55,80,45,75,Rabi,0.35,0.3,0.35
Basil,20,32,50,75,40,70,Summer,0.35,0.3,0.35
Parsley,15,28,55,75,45,70,Rabi,0.35,0.3,0.35
Celery,15,25,60,80,50,75,Rabi,0.35,0.3,0.35